model; shuffled; n_neighbors; weights; algorithm; leaf_size; r2; rmse
KNN; True; 3; uniform; auto; 20; 0.695484986362292; 0.5110503424649517
KNN; False; 3; uniform; auto; 20; 0.5586409196161826; 0.66207468169611
KNN; True; 3; uniform; auto; 30; 0.695484986362292; 0.5110503424649517
KNN; False; 3; uniform; auto; 30; 0.5586409196161826; 0.66207468169611
KNN; True; 3; uniform; auto; 40; 0.695484986362292; 0.5110503424649517
KNN; False; 3; uniform; auto; 40; 0.5586409196161826; 0.66207468169611
KNN; True; 3; uniform; auto; 50; 0.695484986362292; 0.5110503424649517
KNN; False; 3; uniform; auto; 50; 0.5586409196161826; 0.66207468169611
KNN; True; 3; uniform; ball_tree; 20; 0.695484986362292; 0.5110503424649517
KNN; False; 3; uniform; ball_tree; 20; 0.5586409196161826; 0.66207468169611
KNN; True; 3; uniform; ball_tree; 30; 0.695484986362292; 0.5110503424649517
KNN; False; 3; uniform; ball_tree; 30; 0.5586409196161826; 0.66207468169611
KNN; True; 3; uniform; ball_tree; 40; 0.695484986362292; 0.5110503424649517
KNN; False; 3; uniform; ball_tree; 40; 0.5586409196161826; 0.66207468169611
KNN; True; 3; uniform; ball_tree; 50; 0.695484986362292; 0.5110503424649517
KNN; False; 3; uniform; ball_tree; 50; 0.5586409196161826; 0.66207468169611
KNN; True; 3; uniform; kd_tree; 20; 0.695484986362292; 0.5110503424649517
KNN; False; 3; uniform; kd_tree; 20; 0.5586409196161826; 0.66207468169611
KNN; True; 3; uniform; kd_tree; 30; 0.695484986362292; 0.5110503424649517
KNN; False; 3; uniform; kd_tree; 30; 0.5586409196161826; 0.66207468169611
KNN; True; 3; uniform; kd_tree; 40; 0.695484986362292; 0.5110503424649517
KNN; False; 3; uniform; kd_tree; 40; 0.5586409196161826; 0.66207468169611
KNN; True; 3; uniform; kd_tree; 50; 0.695484986362292; 0.5110503424649517
KNN; False; 3; uniform; kd_tree; 50; 0.5586409196161826; 0.66207468169611
KNN; True; 3; uniform; brute; 20; 0.695484986362292; 0.5110503424649517
KNN; False; 3; uniform; brute; 20; 0.5586409196161826; 0.66207468169611
KNN; True; 3; uniform; brute; 30; 0.695484986362292; 0.5110503424649517
KNN; False; 3; uniform; brute; 30; 0.5586409196161826; 0.66207468169611
KNN; True; 3; uniform; brute; 40; 0.695484986362292; 0.5110503424649517
KNN; False; 3; uniform; brute; 40; 0.5586409196161826; 0.66207468169611
KNN; True; 3; uniform; brute; 50; 0.695484986362292; 0.5110503424649517
KNN; False; 3; uniform; brute; 50; 0.5586409196161826; 0.66207468169611
KNN; True; 3; distance; auto; 20; 0.7092759933612316; 0.49934393167059854
KNN; False; 3; distance; auto; 20; 0.5586892707415169; 0.6620384153835759
KNN; True; 3; distance; auto; 30; 0.7092759933612316; 0.49934393167059854
KNN; False; 3; distance; auto; 30; 0.5586892707415169; 0.6620384153835759
KNN; True; 3; distance; auto; 40; 0.7092759933612316; 0.49934393167059854
KNN; False; 3; distance; auto; 40; 0.5586892707415169; 0.6620384153835759
KNN; True; 3; distance; auto; 50; 0.7092759933612316; 0.49934393167059854
KNN; False; 3; distance; auto; 50; 0.5586892707415169; 0.6620384153835759
KNN; True; 3; distance; ball_tree; 20; 0.7092759933612316; 0.49934393167059854
KNN; False; 3; distance; ball_tree; 20; 0.5586892707415169; 0.6620384153835759
KNN; True; 3; distance; ball_tree; 30; 0.7092759933612316; 0.49934393167059854
KNN; False; 3; distance; ball_tree; 30; 0.5586892707415169; 0.6620384153835759
KNN; True; 3; distance; ball_tree; 40; 0.7092759933612316; 0.49934393167059854
KNN; False; 3; distance; ball_tree; 40; 0.5586892707415169; 0.6620384153835759
KNN; True; 3; distance; ball_tree; 50; 0.7092759933612316; 0.49934393167059854
KNN; False; 3; distance; ball_tree; 50; 0.5586892707415169; 0.6620384153835759
KNN; True; 3; distance; kd_tree; 20; 0.7092759933612316; 0.49934393167059854
KNN; False; 3; distance; kd_tree; 20; 0.5586892707415169; 0.6620384153835759
KNN; True; 3; distance; kd_tree; 30; 0.7092759933612316; 0.49934393167059854
KNN; False; 3; distance; kd_tree; 30; 0.5586892707415169; 0.6620384153835759
KNN; True; 3; distance; kd_tree; 40; 0.7092759933612316; 0.49934393167059854
KNN; False; 3; distance; kd_tree; 40; 0.5586892707415169; 0.6620384153835759
KNN; True; 3; distance; kd_tree; 50; 0.7092759933612316; 0.49934393167059854
KNN; False; 3; distance; kd_tree; 50; 0.5586892707415169; 0.6620384153835759
KNN; True; 3; distance; brute; 20; 0.7092759933612316; 0.4993439316705985
KNN; False; 3; distance; brute; 20; 0.5586892707415168; 0.662038415383576
KNN; True; 3; distance; brute; 30; 0.7092759933612316; 0.4993439316705985
KNN; False; 3; distance; brute; 30; 0.5586892707415168; 0.662038415383576
KNN; True; 3; distance; brute; 40; 0.7092759933612316; 0.4993439316705985
KNN; False; 3; distance; brute; 40; 0.5586892707415168; 0.662038415383576
KNN; True; 3; distance; brute; 50; 0.7092759933612316; 0.4993439316705985
KNN; False; 3; distance; brute; 50; 0.5586892707415168; 0.662038415383576
KNN; True; 5; uniform; auto; 20; 0.7034366280065143; 0.5043338106549333
KNN; False; 5; uniform; auto; 20; 0.5809182643522719; 0.645149424684376
KNN; True; 5; uniform; auto; 30; 0.7034366280065143; 0.5043338106549333
KNN; False; 5; uniform; auto; 30; 0.5809182643522719; 0.645149424684376
KNN; True; 5; uniform; auto; 40; 0.7034366280065143; 0.5043338106549333
KNN; False; 5; uniform; auto; 40; 0.5809182643522719; 0.645149424684376
KNN; True; 5; uniform; auto; 50; 0.7034366280065143; 0.5043338106549333
KNN; False; 5; uniform; auto; 50; 0.5809182643522719; 0.645149424684376
KNN; True; 5; uniform; ball_tree; 20; 0.7034366280065143; 0.5043338106549333
KNN; False; 5; uniform; ball_tree; 20; 0.5809182643522719; 0.645149424684376
KNN; True; 5; uniform; ball_tree; 30; 0.7034366280065143; 0.5043338106549333
KNN; False; 5; uniform; ball_tree; 30; 0.5809182643522719; 0.645149424684376
KNN; True; 5; uniform; ball_tree; 40; 0.7034366280065143; 0.5043338106549333
KNN; False; 5; uniform; ball_tree; 40; 0.5809182643522719; 0.645149424684376
KNN; True; 5; uniform; ball_tree; 50; 0.7034366280065143; 0.5043338106549333
KNN; False; 5; uniform; ball_tree; 50; 0.5809182643522719; 0.645149424684376
KNN; True; 5; uniform; kd_tree; 20; 0.7034366280065143; 0.5043338106549333
KNN; False; 5; uniform; kd_tree; 20; 0.5809182643522719; 0.645149424684376
KNN; True; 5; uniform; kd_tree; 30; 0.7034366280065143; 0.5043338106549333
KNN; False; 5; uniform; kd_tree; 30; 0.5809182643522719; 0.645149424684376
KNN; True; 5; uniform; kd_tree; 40; 0.7034366280065143; 0.5043338106549333
KNN; False; 5; uniform; kd_tree; 40; 0.5809182643522719; 0.645149424684376
KNN; True; 5; uniform; kd_tree; 50; 0.7034366280065143; 0.5043338106549333
KNN; False; 5; uniform; kd_tree; 50; 0.5809182643522719; 0.645149424684376
KNN; True; 5; uniform; brute; 20; 0.7034366280065143; 0.5043338106549333
KNN; False; 5; uniform; brute; 20; 0.5809182643522719; 0.645149424684376
KNN; True; 5; uniform; brute; 30; 0.7034366280065143; 0.5043338106549333
KNN; False; 5; uniform; brute; 30; 0.5809182643522719; 0.645149424684376
KNN; True; 5; uniform; brute; 40; 0.7034366280065143; 0.5043338106549333
KNN; False; 5; uniform; brute; 40; 0.5809182643522719; 0.645149424684376
KNN; True; 5; uniform; brute; 50; 0.7034366280065143; 0.5043338106549333
KNN; False; 5; uniform; brute; 50; 0.5809182643522719; 0.645149424684376
KNN; True; 5; distance; auto; 20; 0.7177168351422418; 0.49204159515222906
KNN; False; 5; distance; auto; 20; 0.5828867949217641; 0.6436324279496382
KNN; True; 5; distance; auto; 30; 0.7177168351422418; 0.49204159515222906
KNN; False; 5; distance; auto; 30; 0.5828867949217641; 0.6436324279496382
KNN; True; 5; distance; auto; 40; 0.7177168351422418; 0.49204159515222906
KNN; False; 5; distance; auto; 40; 0.5828867949217641; 0.6436324279496382
KNN; True; 5; distance; auto; 50; 0.7177168351422418; 0.49204159515222906
KNN; False; 5; distance; auto; 50; 0.5828867949217641; 0.6436324279496382
KNN; True; 5; distance; ball_tree; 20; 0.7177168351422418; 0.49204159515222906
KNN; False; 5; distance; ball_tree; 20; 0.5828867949217641; 0.6436324279496382
KNN; True; 5; distance; ball_tree; 30; 0.7177168351422418; 0.49204159515222906
KNN; False; 5; distance; ball_tree; 30; 0.5828867949217641; 0.6436324279496382
KNN; True; 5; distance; ball_tree; 40; 0.7177168351422418; 0.49204159515222906
KNN; False; 5; distance; ball_tree; 40; 0.5828867949217641; 0.6436324279496382
KNN; True; 5; distance; ball_tree; 50; 0.7177168351422418; 0.49204159515222906
KNN; False; 5; distance; ball_tree; 50; 0.5828867949217641; 0.6436324279496382
KNN; True; 5; distance; kd_tree; 20; 0.7177168351422418; 0.49204159515222906
KNN; False; 5; distance; kd_tree; 20; 0.5828867949217641; 0.6436324279496382
KNN; True; 5; distance; kd_tree; 30; 0.7177168351422418; 0.49204159515222906
KNN; False; 5; distance; kd_tree; 30; 0.5828867949217641; 0.6436324279496382
KNN; True; 5; distance; kd_tree; 40; 0.7177168351422418; 0.49204159515222906
KNN; False; 5; distance; kd_tree; 40; 0.5828867949217641; 0.6436324279496382
KNN; True; 5; distance; kd_tree; 50; 0.7177168351422418; 0.49204159515222906
KNN; False; 5; distance; kd_tree; 50; 0.5828867949217641; 0.6436324279496382
KNN; True; 5; distance; brute; 20; 0.7177168351422418; 0.492041595152229
KNN; False; 5; distance; brute; 20; 0.5828867949217641; 0.6436324279496382
KNN; True; 5; distance; brute; 30; 0.7177168351422418; 0.492041595152229
KNN; False; 5; distance; brute; 30; 0.5828867949217641; 0.6436324279496382
KNN; True; 5; distance; brute; 40; 0.7177168351422418; 0.492041595152229
KNN; False; 5; distance; brute; 40; 0.5828867949217641; 0.6436324279496382
KNN; True; 5; distance; brute; 50; 0.7177168351422418; 0.492041595152229
KNN; False; 5; distance; brute; 50; 0.5828867949217641; 0.6436324279496382
KNN; True; 7; uniform; auto; 20; 0.6934555463577137; 0.5127504618066047
KNN; False; 7; uniform; auto; 20; 0.5800098081131744; 0.6458483011715567
KNN; True; 7; uniform; auto; 30; 0.6934555463577137; 0.5127504618066047
KNN; False; 7; uniform; auto; 30; 0.5800098081131744; 0.6458483011715567
KNN; True; 7; uniform; auto; 40; 0.6934555463577137; 0.5127504618066047
KNN; False; 7; uniform; auto; 40; 0.5800098081131744; 0.6458483011715567
KNN; True; 7; uniform; auto; 50; 0.6934555463577137; 0.5127504618066047
KNN; False; 7; uniform; auto; 50; 0.5800098081131744; 0.6458483011715567
KNN; True; 7; uniform; ball_tree; 20; 0.6934555463577137; 0.5127504618066047
KNN; False; 7; uniform; ball_tree; 20; 0.5800098081131744; 0.6458483011715567
KNN; True; 7; uniform; ball_tree; 30; 0.6934555463577137; 0.5127504618066047
KNN; False; 7; uniform; ball_tree; 30; 0.5800098081131744; 0.6458483011715567
KNN; True; 7; uniform; ball_tree; 40; 0.6934555463577137; 0.5127504618066047
KNN; False; 7; uniform; ball_tree; 40; 0.5800098081131744; 0.6458483011715567
KNN; True; 7; uniform; ball_tree; 50; 0.6934555463577137; 0.5127504618066047
KNN; False; 7; uniform; ball_tree; 50; 0.5800098081131744; 0.6458483011715567
KNN; True; 7; uniform; kd_tree; 20; 0.6934555463577137; 0.5127504618066047
KNN; False; 7; uniform; kd_tree; 20; 0.5800098081131744; 0.6458483011715567
KNN; True; 7; uniform; kd_tree; 30; 0.6934555463577137; 0.5127504618066047
KNN; False; 7; uniform; kd_tree; 30; 0.5800098081131744; 0.6458483011715567
KNN; True; 7; uniform; kd_tree; 40; 0.6934555463577137; 0.5127504618066047
KNN; False; 7; uniform; kd_tree; 40; 0.5800098081131744; 0.6458483011715567
KNN; True; 7; uniform; kd_tree; 50; 0.6934555463577137; 0.5127504618066047
KNN; False; 7; uniform; kd_tree; 50; 0.5800098081131744; 0.6458483011715567
KNN; True; 7; uniform; brute; 20; 0.6934555463577137; 0.5127504618066047
KNN; False; 7; uniform; brute; 20; 0.5800098081131744; 0.6458483011715567
KNN; True; 7; uniform; brute; 30; 0.6934555463577137; 0.5127504618066047
KNN; False; 7; uniform; brute; 30; 0.5800098081131744; 0.6458483011715567
KNN; True; 7; uniform; brute; 40; 0.6934555463577137; 0.5127504618066047
KNN; False; 7; uniform; brute; 40; 0.5800098081131744; 0.6458483011715567
KNN; True; 7; uniform; brute; 50; 0.6934555463577137; 0.5127504618066047
KNN; False; 7; uniform; brute; 50; 0.5800098081131744; 0.6458483011715567
KNN; True; 7; distance; auto; 20; 0.7093713450531046; 0.4992620375161475
KNN; False; 7; distance; auto; 20; 0.5851806640985908; 0.6418601944073948
KNN; True; 7; distance; auto; 30; 0.7093713450531046; 0.4992620375161475
KNN; False; 7; distance; auto; 30; 0.5851806640985908; 0.6418601944073948
KNN; True; 7; distance; auto; 40; 0.7093713450531046; 0.4992620375161475
KNN; False; 7; distance; auto; 40; 0.5851806640985908; 0.6418601944073948
KNN; True; 7; distance; auto; 50; 0.7093713450531046; 0.4992620375161475
KNN; False; 7; distance; auto; 50; 0.5851806640985908; 0.6418601944073948
KNN; True; 7; distance; ball_tree; 20; 0.7093713450531046; 0.4992620375161475
KNN; False; 7; distance; ball_tree; 20; 0.5851806640985908; 0.6418601944073948
KNN; True; 7; distance; ball_tree; 30; 0.7093713450531046; 0.4992620375161475
KNN; False; 7; distance; ball_tree; 30; 0.5851806640985908; 0.6418601944073948
KNN; True; 7; distance; ball_tree; 40; 0.7093713450531046; 0.4992620375161475
KNN; False; 7; distance; ball_tree; 40; 0.5851806640985908; 0.6418601944073948
KNN; True; 7; distance; ball_tree; 50; 0.7093713450531046; 0.4992620375161475
KNN; False; 7; distance; ball_tree; 50; 0.5851806640985908; 0.6418601944073948
KNN; True; 7; distance; kd_tree; 20; 0.7093713450531046; 0.4992620375161475
KNN; False; 7; distance; kd_tree; 20; 0.5851806640985908; 0.6418601944073948
KNN; True; 7; distance; kd_tree; 30; 0.7093713450531046; 0.4992620375161475
KNN; False; 7; distance; kd_tree; 30; 0.5851806640985908; 0.6418601944073948
KNN; True; 7; distance; kd_tree; 40; 0.7093713450531046; 0.4992620375161475
KNN; False; 7; distance; kd_tree; 40; 0.5851806640985908; 0.6418601944073948
KNN; True; 7; distance; kd_tree; 50; 0.7093713450531046; 0.4992620375161475
KNN; False; 7; distance; kd_tree; 50; 0.5851806640985908; 0.6418601944073948
KNN; True; 7; distance; brute; 20; 0.7093713450531047; 0.4992620375161475
KNN; False; 7; distance; brute; 20; 0.5851806640985908; 0.6418601944073948
KNN; True; 7; distance; brute; 30; 0.7093713450531047; 0.4992620375161475
KNN; False; 7; distance; brute; 30; 0.5851806640985908; 0.6418601944073948
KNN; True; 7; distance; brute; 40; 0.7093713450531047; 0.4992620375161475
KNN; False; 7; distance; brute; 40; 0.5851806640985908; 0.6418601944073948
KNN; True; 7; distance; brute; 50; 0.7093713450531047; 0.4992620375161475
KNN; False; 7; distance; brute; 50; 0.5851806640985908; 0.6418601944073948
KNN; True; 9; uniform; auto; 20; 0.6737144816637621; 0.5290031135558155
KNN; False; 9; uniform; auto; 20; 0.5850296857475277; 0.6419769900451269
KNN; True; 9; uniform; auto; 30; 0.6737144816637621; 0.5290031135558155
KNN; False; 9; uniform; auto; 30; 0.5850296857475277; 0.6419769900451269
KNN; True; 9; uniform; auto; 40; 0.6737144816637621; 0.5290031135558155
KNN; False; 9; uniform; auto; 40; 0.5850296857475277; 0.6419769900451269
KNN; True; 9; uniform; auto; 50; 0.6737144816637621; 0.5290031135558155
KNN; False; 9; uniform; auto; 50; 0.5850296857475277; 0.6419769900451269
KNN; True; 9; uniform; ball_tree; 20; 0.6737144816637621; 0.5290031135558155
KNN; False; 9; uniform; ball_tree; 20; 0.5850296857475277; 0.6419769900451269
KNN; True; 9; uniform; ball_tree; 30; 0.6737144816637621; 0.5290031135558155
KNN; False; 9; uniform; ball_tree; 30; 0.5850296857475277; 0.6419769900451269
KNN; True; 9; uniform; ball_tree; 40; 0.6737144816637621; 0.5290031135558155
KNN; False; 9; uniform; ball_tree; 40; 0.5850296857475277; 0.6419769900451269
KNN; True; 9; uniform; ball_tree; 50; 0.6737144816637621; 0.5290031135558155
KNN; False; 9; uniform; ball_tree; 50; 0.5850296857475277; 0.6419769900451269
KNN; True; 9; uniform; kd_tree; 20; 0.6737144816637621; 0.5290031135558155
KNN; False; 9; uniform; kd_tree; 20; 0.5850296857475277; 0.6419769900451269
KNN; True; 9; uniform; kd_tree; 30; 0.6737144816637621; 0.5290031135558155
KNN; False; 9; uniform; kd_tree; 30; 0.5850296857475277; 0.6419769900451269
KNN; True; 9; uniform; kd_tree; 40; 0.6737144816637621; 0.5290031135558155
KNN; False; 9; uniform; kd_tree; 40; 0.5850296857475277; 0.6419769900451269
KNN; True; 9; uniform; kd_tree; 50; 0.6737144816637621; 0.5290031135558155
KNN; False; 9; uniform; kd_tree; 50; 0.5850296857475277; 0.6419769900451269
KNN; True; 9; uniform; brute; 20; 0.6737144816637621; 0.5290031135558155
KNN; False; 9; uniform; brute; 20; 0.5850296857475277; 0.6419769900451269
KNN; True; 9; uniform; brute; 30; 0.6737144816637621; 0.5290031135558155
KNN; False; 9; uniform; brute; 30; 0.5850296857475277; 0.6419769900451269
KNN; True; 9; uniform; brute; 40; 0.6737144816637621; 0.5290031135558155
KNN; False; 9; uniform; brute; 40; 0.5850296857475277; 0.6419769900451269
KNN; True; 9; uniform; brute; 50; 0.6737144816637621; 0.5290031135558155
KNN; False; 9; uniform; brute; 50; 0.5850296857475277; 0.6419769900451269
KNN; True; 9; distance; auto; 20; 0.6940874972839302; 0.5122216636194912
KNN; False; 9; distance; auto; 20; 0.5895285525333185; 0.6384875360491284
KNN; True; 9; distance; auto; 30; 0.6940874972839302; 0.5122216636194912
KNN; False; 9; distance; auto; 30; 0.5895285525333185; 0.6384875360491284
KNN; True; 9; distance; auto; 40; 0.6940874972839302; 0.5122216636194912
KNN; False; 9; distance; auto; 40; 0.5895285525333185; 0.6384875360491284
KNN; True; 9; distance; auto; 50; 0.6940874972839302; 0.5122216636194912
KNN; False; 9; distance; auto; 50; 0.5895285525333185; 0.6384875360491284
KNN; True; 9; distance; ball_tree; 20; 0.6940874972839302; 0.5122216636194912
KNN; False; 9; distance; ball_tree; 20; 0.5895285525333185; 0.6384875360491284
KNN; True; 9; distance; ball_tree; 30; 0.6940874972839302; 0.5122216636194912
KNN; False; 9; distance; ball_tree; 30; 0.5895285525333185; 0.6384875360491284
KNN; True; 9; distance; ball_tree; 40; 0.6940874972839302; 0.5122216636194912
KNN; False; 9; distance; ball_tree; 40; 0.5895285525333185; 0.6384875360491284
KNN; True; 9; distance; ball_tree; 50; 0.6940874972839302; 0.5122216636194912
KNN; False; 9; distance; ball_tree; 50; 0.5895285525333185; 0.6384875360491284
KNN; True; 9; distance; kd_tree; 20; 0.6940874972839302; 0.5122216636194912
KNN; False; 9; distance; kd_tree; 20; 0.5895285525333185; 0.6384875360491284
KNN; True; 9; distance; kd_tree; 30; 0.6940874972839302; 0.5122216636194912
KNN; False; 9; distance; kd_tree; 30; 0.5895285525333185; 0.6384875360491284
KNN; True; 9; distance; kd_tree; 40; 0.6940874972839302; 0.5122216636194912
KNN; False; 9; distance; kd_tree; 40; 0.5895285525333185; 0.6384875360491284
KNN; True; 9; distance; kd_tree; 50; 0.6940874972839302; 0.5122216636194912
KNN; False; 9; distance; kd_tree; 50; 0.5895285525333185; 0.6384875360491284
KNN; True; 9; distance; brute; 20; 0.6940874972839303; 0.5122216636194911
KNN; False; 9; distance; brute; 20; 0.5895285525333185; 0.6384875360491284
KNN; True; 9; distance; brute; 30; 0.6940874972839303; 0.5122216636194911
KNN; False; 9; distance; brute; 30; 0.5895285525333185; 0.6384875360491284
KNN; True; 9; distance; brute; 40; 0.6940874972839303; 0.5122216636194911
KNN; False; 9; distance; brute; 40; 0.5895285525333185; 0.6384875360491284
KNN; True; 9; distance; brute; 50; 0.6940874972839303; 0.5122216636194911
KNN; False; 9; distance; brute; 50; 0.5895285525333185; 0.6384875360491284
KNN; True; 11; uniform; auto; 20; 0.670922277434837; 0.531261776660807
KNN; False; 11; uniform; auto; 20; 0.5794536197006914; 0.6462758046006573
KNN; True; 11; uniform; auto; 30; 0.670922277434837; 0.531261776660807
KNN; False; 11; uniform; auto; 30; 0.5794536197006914; 0.6462758046006573
KNN; True; 11; uniform; auto; 40; 0.670922277434837; 0.531261776660807
KNN; False; 11; uniform; auto; 40; 0.5794536197006914; 0.6462758046006573
KNN; True; 11; uniform; auto; 50; 0.670922277434837; 0.531261776660807
KNN; False; 11; uniform; auto; 50; 0.5794536197006914; 0.6462758046006573
KNN; True; 11; uniform; ball_tree; 20; 0.670922277434837; 0.531261776660807
KNN; False; 11; uniform; ball_tree; 20; 0.5794536197006914; 0.6462758046006573
KNN; True; 11; uniform; ball_tree; 30; 0.670922277434837; 0.531261776660807
KNN; False; 11; uniform; ball_tree; 30; 0.5794536197006914; 0.6462758046006573
KNN; True; 11; uniform; ball_tree; 40; 0.670922277434837; 0.531261776660807
KNN; False; 11; uniform; ball_tree; 40; 0.5794536197006914; 0.6462758046006573
KNN; True; 11; uniform; ball_tree; 50; 0.670922277434837; 0.531261776660807
KNN; False; 11; uniform; ball_tree; 50; 0.5794536197006914; 0.6462758046006573
KNN; True; 11; uniform; kd_tree; 20; 0.670922277434837; 0.531261776660807
KNN; False; 11; uniform; kd_tree; 20; 0.5794536197006914; 0.6462758046006573
KNN; True; 11; uniform; kd_tree; 30; 0.670922277434837; 0.531261776660807
KNN; False; 11; uniform; kd_tree; 30; 0.5794536197006914; 0.6462758046006573
KNN; True; 11; uniform; kd_tree; 40; 0.670922277434837; 0.531261776660807
KNN; False; 11; uniform; kd_tree; 40; 0.5794536197006914; 0.6462758046006573
KNN; True; 11; uniform; kd_tree; 50; 0.670922277434837; 0.531261776660807
KNN; False; 11; uniform; kd_tree; 50; 0.5794536197006914; 0.6462758046006573
KNN; True; 11; uniform; brute; 20; 0.670922277434837; 0.531261776660807
KNN; False; 11; uniform; brute; 20; 0.5794536197006914; 0.6462758046006573
KNN; True; 11; uniform; brute; 30; 0.670922277434837; 0.531261776660807
KNN; False; 11; uniform; brute; 30; 0.5794536197006914; 0.6462758046006573
KNN; True; 11; uniform; brute; 40; 0.670922277434837; 0.531261776660807
KNN; False; 11; uniform; brute; 40; 0.5794536197006914; 0.6462758046006573
KNN; True; 11; uniform; brute; 50; 0.670922277434837; 0.531261776660807
KNN; False; 11; uniform; brute; 50; 0.5794536197006914; 0.6462758046006573
KNN; True; 11; distance; auto; 20; 0.6904851054500729; 0.5152287695523577
KNN; False; 11; distance; auto; 20; 0.5849648388999511; 0.6420271485219449
KNN; True; 11; distance; auto; 30; 0.6904851054500729; 0.5152287695523577
KNN; False; 11; distance; auto; 30; 0.5849648388999511; 0.6420271485219449
KNN; True; 11; distance; auto; 40; 0.6904851054500729; 0.5152287695523577
KNN; False; 11; distance; auto; 40; 0.5849648388999511; 0.6420271485219449
KNN; True; 11; distance; auto; 50; 0.6904851054500729; 0.5152287695523577
KNN; False; 11; distance; auto; 50; 0.5849648388999511; 0.6420271485219449
KNN; True; 11; distance; ball_tree; 20; 0.6904851054500729; 0.5152287695523577
KNN; False; 11; distance; ball_tree; 20; 0.5849648388999511; 0.6420271485219449
KNN; True; 11; distance; ball_tree; 30; 0.6904851054500729; 0.5152287695523577
KNN; False; 11; distance; ball_tree; 30; 0.5849648388999511; 0.6420271485219449
KNN; True; 11; distance; ball_tree; 40; 0.6904851054500729; 0.5152287695523577
KNN; False; 11; distance; ball_tree; 40; 0.5849648388999511; 0.6420271485219449
KNN; True; 11; distance; ball_tree; 50; 0.6904851054500729; 0.5152287695523577
KNN; False; 11; distance; ball_tree; 50; 0.5849648388999511; 0.6420271485219449
KNN; True; 11; distance; kd_tree; 20; 0.6904851054500729; 0.5152287695523577
KNN; False; 11; distance; kd_tree; 20; 0.5849648388999511; 0.6420271485219449
KNN; True; 11; distance; kd_tree; 30; 0.6904851054500729; 0.5152287695523577
KNN; False; 11; distance; kd_tree; 30; 0.5849648388999511; 0.6420271485219449
KNN; True; 11; distance; kd_tree; 40; 0.6904851054500729; 0.5152287695523577
KNN; False; 11; distance; kd_tree; 40; 0.5849648388999511; 0.6420271485219449
KNN; True; 11; distance; kd_tree; 50; 0.6904851054500729; 0.5152287695523577
KNN; False; 11; distance; kd_tree; 50; 0.5849648388999511; 0.6420271485219449
KNN; True; 11; distance; brute; 20; 0.6904851054500729; 0.5152287695523577
KNN; False; 11; distance; brute; 20; 0.5849648388999511; 0.6420271485219449
KNN; True; 11; distance; brute; 30; 0.6904851054500729; 0.5152287695523577
KNN; False; 11; distance; brute; 30; 0.5849648388999511; 0.6420271485219449
KNN; True; 11; distance; brute; 40; 0.6904851054500729; 0.5152287695523577
KNN; False; 11; distance; brute; 40; 0.5849648388999511; 0.6420271485219449
KNN; True; 11; distance; brute; 50; 0.6904851054500729; 0.5152287695523577
KNN; False; 11; distance; brute; 50; 0.5849648388999511; 0.6420271485219449
